???? ????,?????,?????,??????,,?? ?????,??? ???????,???,?????,????,?????,?????/?????,???? ????,????? ????? ??????,?????? ???,????? ???,??? ?????,??? ?????,???? ?????/?????,????? ????? ??????,????? ???? ??????
910000,819000,0,81900,40 ??? ?????? ????? (??????? ??????) - TD LTE,6585998,?????,?????,?????,LTE-40M-limited,??? ????? ?????,?????,??????,?????,693591,1402/11/01 0:01,TD-LTE,??????,?????,1402/12/01 18:18,1402/11/01 0:01
1664000,1497600,0,149760,80 ??? ?????? ????? (??????? ??????) - TD LTE,3223823,?????,?????,?????,LTE-20M-limited,????? ?? ?????,?????,??????,?????,693594,1402/11/01 0:05,TD-LTE,??????,?????,1402/12/06 21:25,1402/11/01 0:05
1397500,1257750,0,125775,2 ?? 40 ?? - 3 ???? - 70 ??? - TD-LTE,2003873,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693595,1402/11/01 0:06,TD-LTE,????,?????,1403/01/29 10:39,1402/11/01 0:06
565500,508950,0,50895,2 ?? 20 ?? - 1 ???? - 30 ??? - TD-LTE,6944198,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,????? ??????,693369,1402/11/01 0:13,TD-LTE,????,?????,1402/11/20 23:08,1402/11/01 0:13
682500,614250,0,61425,2 ?? 40 ??- 45 ???? -32 ???-TD-LTE,5524898,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693600,1402/11/01 0:35,TD-LTE,????,?????,1402/11/12 14:49,1402/11/02 3:03
2242500,2018250,0,201825,2 ?? 40 ?? - 3 ???? - 100 ??? - ????? -TD-LTE,2846273,?????,?????,?????,LTE-40M-limited-tejari,?? ??? ???????,?????,??????,?????,693601,1402/11/01 0:44,TD-LTE,????,?????,1402/12/10 20:08,1402/11/01 0:45
0,0,0,0,??? ????,2846273,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693601,1402/11/01 0:44,TD-LTE,??????,?????,1402/12/10 20:08,1402/11/01 0:45
1137500,1023750,0,102375,2 ?? 20 ?? - 45 ????  - 60 ??? - TD-LTE,3046073,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693602,1402/11/01 0:53,TD-LTE,????,?????,1402/11/05 20:51,1402/11/01 0:54
910000,819000,0,81900,40 ??? ?????? ????? (??????? ??????) - TD LTE,8020148,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,???? ?????,693599,1402/11/01 1:01,TD-LTE,??????,?????,1402/11/14 0:01,1402/11/01 1:01
2340000,2106000,0,210600,??? ???? 16 ?? - 6???? ( ????????? 600??? ?????? ????? ????? 300??? ?????? ??? ????? ),1170923,?????,?????,?????,DSL-128to16M-FUP,?? ??? ???????,?????,??????,?????,693604,1402/11/01 1:26,ADSL,????,?????,1403/04/28 1:25,1402/11/01 1:25
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,7128248,?????,?????,?????,LTE-40M-limited,LTE ???????,?????,??????,?????,693608,1402/11/01 1:32,TD-LTE,??????,?????,1403/01/13 18:41,1402/11/01 1:32
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,4884098,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693609,1402/11/01 2:23,TD-LTE,??????,?????,1403/01/30 17:33,1402/11/01 2:23
247000,222300,0,22230,10 ??? ?????? ????? (??????? ??????) - TD LTE,5106173,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693611,1402/11/01 3:54,TD-LTE,??????,?????,1402/11/11 10:59,1402/11/01 3:54
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,7279448,?????,?????,?????,LTE-40M-limited,????? ????? ?????,?????,??????,?????,693613,1402/11/01 4:33,TD-LTE,??????,?????,1402/11/22 20:29,1402/11/01 4:33
1950000,1755000,0,175500,100 ??? ?????? ????? (??????? ??????) - TD LTE,6115523,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693614,1402/11/01 4:59,TD-LTE,??????,?????,1402/11/27 13:03,1402/11/01 4:59
130000,117000,0,11700,5 ??? ?????? ????? (??????? ??????) - TD LTE,4459748,?????,?????,?????,LTE-40M-limited,????? ?? ?????,?????,??????,?????,693615,1402/11/01 7:04,TD-LTE,??????,?????,1402/11/05 17:11,1402/11/01 7:04
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,4703648,?????,?????,?????,LTE-40M-limited-tejari,?? ??? ???????,?????,??????,?????,693617,1402/11/01 7:09,TD-LTE,??????,?????,1402/11/28 1:07,1402/11/01 7:09
1397500,1257750,0,125775,2 ?? 40 ?? - 3 ???? - 70 ??? - TD-LTE,5200223,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693618,1402/11/01 7:15,TD-LTE,????,?????,1402/12/06 9:03,1402/11/01 7:15
565500,508950,0,50895,2 ?? 20 ?? - 1 ???? - 30 ??? - TD-LTE,5685998,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693619,1402/11/01 7:23,TD-LTE,????,?????,1402/12/01 7:24,1402/11/01 7:24
1300000,1170000,0,117000,2 ?? 40 ?? - 1 ???? - 75 ??? - TD-LTE,2705648,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693621,1402/11/01 7:35,TD-LTE,????,?????,1402/11/28 18:27,1402/11/01 7:35
0,0,0,0,??? ????,2705648,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693621,1402/11/01 7:35,TD-LTE,??????,?????,1402/11/28 18:27,1402/11/01 7:35
1664000,1497600,0,149760,80 ??? ?????? ????? (??????? ??????) - TD LTE,4506323,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693622,1402/11/01 7:40,TD-LTE,??????,?????,1402/11/02 8:38,1402/11/01 7:40
292500,263250,0,26325,2 ?? 40 ?? - 1 ???? - 10 ??? - TD-LTE,6155123,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693623,1402/11/01 7:53,TD-LTE,????,?????,1402/12/06 8:52,1402/11/11 9:51
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,6983123,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693624,1402/11/01 8:11,TD-LTE,??????,?????,1402/12/15 17:02,1402/11/01 8:11
910000,819000,0,81900,40 ??? ?????? ????? (??????? ??????) - TD LTE,2583473,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693627,1402/11/01 8:16,TD-LTE,??????,?????,1402/11/21 19:22,1402/11/01 8:16
910000,819000,0,81900,40 ??? ?????? ????? (??????? ??????) - TD LTE,5739098,?????,?????,?????,LTE-40M-limited,????? ??????,?????,??????,?????,693632,1402/11/01 8:24,TD-LTE,??????,?????,1402/12/23 10:34,1402/11/01 8:24
565500,508950,0,50895,2 ?? 20 ?? - 1 ???? - 30 ??? - TD-LTE,6727748,?????,?????,?????,LTE-20M-limited,LTE ???????,?????,??????,?????,693633,1402/11/01 8:36,TD-LTE,????,?????,1402/11/25 20:08,1402/11/01 8:35
565500,508950,0,50895,2 ?? 20 ?? - 1 ???? - 30 ??? - TD-LTE,4949348,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693634,1402/11/01 8:38,TD-LTE,????,?????,1402/12/01 8:42,1402/11/01 8:42
0,0,0,0,??? ????,5291123,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693638,1402/11/01 8:47,TD-LTE,????,?????,1402/11/28 15:59,1402/11/01 8:47
292500,263250,0,26325,2 ?? 40 ?? - 1 ???? - 10 ??? - TD-LTE,5291123,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693638,1402/11/01 8:47,TD-LTE,????,?????,1402/11/28 15:59,1402/11/01 8:47
897000,807300,0,80730,10 ?? - 6 ???? - 120 ??? - WIR,4254323,?????,???,????,WIR-10MB-limited,?? ??? ???????,?????,?????,???? ??,693639,1402/11/01 8:48,WireLess,????,?????,1403/01/15 17:12,1402/11/01 8:48
325000,292500,0,29250,??? ???? ???? ??-4 ?? - 1 ???? ( ????????? 164 ??? ?????? ????? ????? 82 ??? ?????? ??? ????? ),8999798,?????,?????,?????,DSL-128to4M-FUP,??? ???? ??,?????,?????,???? ?????,693640,1402/11/01 8:55,ADSL,????,???? ?????,1402/12/06 16:24,1402/11/06 16:24
78000,70200,0,7020,????? ???,8999798,?????,?????,?????,DSL-128to4M-FUP,??? ???? ??,?????,?????,???? ?????,693640,1402/11/01 8:55,ADSL,????? ?????,???? ?????,1402/12/06 16:24,1402/11/06 16:24
565500,508950,0,50895,2 ?? 20 ?? - 1 ???? - 30 ??? - TD-LTE,4510823,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,?????,?????? ???????,693641,1402/11/01 8:59,TD-LTE,????,?????,1402/11/27 12:34,1402/11/01 9:00
422500,380250,0,38025,2 ?? 40 ??- 1 ???? -20 ???-TD-LTE,6024398,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693642,1402/11/01 9:00,TD-LTE,????,?????,1402/11/16 18:09,1402/11/01 9:00
0,0,0,0,??? ????,5639423,?????,?????,?????,LTE-40M-limited-tejari,?? ??? ???????,?????,??????,?????,693643,1402/11/01 9:07,TD-LTE,??????,?????,1402/12/12 15:14,1402/11/01 9:06
1664000,1497600,0,149760,80 ??? ?????? ????? (??????? ??????) - TD LTE,5639423,?????,?????,?????,LTE-40M-limited-tejari,?? ??? ???????,?????,??????,?????,693643,1402/11/01 9:07,TD-LTE,??????,?????,1402/12/12 15:14,1402/11/01 9:06
